StudentID,Name,Age,Score,Label,Attendance
1,Alice,24,73,Fail,61.3
2,Bob,21,93,Pass,93.7
3,Carol,28,79,Pass,78.0
4,David,25,87,Pass,75.8
5,Eva,22,51,Fail,97.1
6,Frank,24,70,Pass,89.1
7,Grace,27,82,Pass,73.1
8,Henry,20,61,Pass,82.8
9,Isla,24,71,Pass,80.8
10,Jack,28,93,Pass,98.4
11,Karen,28,74,Pass,93.8
12,Leo,25,98,Pass,89.9
13,Mia,22,76,Fail,81.6
14,Noah,21,91,Pass,83.5
15,Olivia,25,77,Pass,98.6
16,Paul,25,65,Pass,84.3
17,Quinn,20,64,Fail,71.0
18,Rachel,23,96,Pass,71.9
19,Sam,22,93,Pass,66.6
20,Tina,19,52,Pass,60.6
